hospital_id,Hospital
29933,Sons and Miller
16012,Kim Inc
5473,Cook PLC
12317,"Hernandez Rogers and Vang,"
33598,White-White
22730,Nunez-Humphrey
10758,Group Middleton
25107,"Powell Robinson and Valdez,"
29684,Sons Rich and
23796,Padilla-Walker
27909,Schaefer-Porter
18818,Lyons-Blair
25160,"Powers Miller, and Flores"
26294,Rivera-Gutierrez
21709,Morris-Arellano
5028,Cline-Williams
4452,Cervantes-Wells
31517,"Torres, and Harrison Jones"
13185,Houston PLC
11329,Hammond Ltd
15279,Jones LLC
33959,Williams-Davis
4933,Clark-Mayo
39103,and Sons Smith
34198,Wilson Group
9117,Garner-Bowman
3043,"Brown, and Jones Weaver"
28241,Serrano-Dixon
9091,Gardner-Miller
10987,Guerrero-Boone
11850,Hart Ltd
5926,Cruz-Santiago
10550,Group Duncan
17984,Lopez-Phillips
24980,Poole Inc
29811,Sons and Cox
16710,LLC Martin
7481,Espinoza-Stone
36290,"and Garcia Morris Cunningham,"
32660,Walton-Meyer
23730,PLC Young
20287,Meadows Group
36835,"and Howell Brooks, Rogers"
37546,"and Mcclure White Boone,"
9222,"Gates Brown, and Stuart"
10428,Group Armstrong
18572,Ltd Schwartz
22334,Nelson-Phillips
16296,"Knight and Nguyen, Riggs"
17877,Lopez PLC
7785,"Fernandez and Phillips, Singh"
1770,Beck-Galloway
6584,"Decker Glover, and Christensen"
22269,"Nelson Walker Myers, and"
21059,Mitchell-Navarro
10540,Group Delgado
37726,"and Montes Graves, Thomas"
11227,Hall-Bentley
31000,Taylor-Nguyen
13596,Hunter-Grant
20854,Miller-Lawson
28189,Scott-Kelly
21862,"Moss and Ferguson, Baker"
37493,"and Mason Smith Chase,"
15981,"Khan, and Rodriguez Fischer"
29734,Sons Watson and
25930,Rhodes-Carey
3362,Bullock-Ramsey
4813,"Clark Brown, and Myers"
14336,"Jackson and Lane, Dillon"
31733,"Turner Cook, Banks and"
20619,"Miles, and Weaver Hudson"
7538,Evans Ltd
29997,Sons and Schaefer
29578,Sons Hodges and
28669,Simpson-Mccall
17662,"Lin Thompson Wells, and"
15546,Jones-Scott
13288,Howe-Kelly
39070,and Sons Reyes
28373,Shaw-Young
14165,Inc Skinner
4923,Clark-Johnson
24384,Perez and Sons
15867,Kemp LLC
16519,LLC Dixon
37779,"and Morales Jennings Cook,"
10653,Group Hood
17675,Lindsey Inc
18644,Ltd Wang
13864,Inc Ford
6574,Dean-Hawkins
32593,Walter PLC
29582,Sons Horn and
25108,"Powell Ward, and Mercado"
14514,James Ltd
15879,Kemp-Munoz
12171,Henderson-Taylor
24047,"Parsons, Hartman Martinez and"
18720,Luna Inc
12355,"Hernandez, Ritter and Huffman"
25644,Reed LLC
31409,Thompson-Walker
10782,Group Nguyen
22405,Newton-White
18615,Ltd Thomas
24875,"Pierce Ward, Torres and"
7556,"Evans and Hall Schneider,"
30619,Stout-Brown
5883,Cruz Ltd
30478,Stewart Sons and
11181,"Hall Roberts and Duarte,"
25450,Ramirez-Robinson
8938,"Garcia, and Bishop Hernandez"
35489,"and Brown Oneal, Shah"
10945,Group White
13446,"Hughes and Erickson, Anderson"
17061,Lane-Kelly
5755,Cox-Hester
14578,"Jarvis Scott, Fleming and"
5022,Cline-Carpenter
15000,"Johnson, and Ross Harris"
16018,"Kim Rosario, and Hammond"
23418,PLC Jimenez
3943,Cantu-Berry
34718,Wright-Alexander
11077,Guzman-Carlson
20537,Meyer-Hill
7016,Dudley-Atkinson
15825,Kelly-Allen
17517,"Lewis Livingston, Lowe and"
26726,Rodriguez Ltd
36995,"and Johnson Moore, Branch"
12981,"Holmes and Hughes, Phillips"
38824,"and Smith, Tucker Cross"
29916,Sons and Lozano
27386,Russell Ltd
15286,Jones Ltd
9908,Gordon-Ward
1430,Barnes and Sons
17490,Levine-Miller
37429,"and Marquez Silva Smith,"
14392,Jackson-Copeland
24379,"Perez and Ochoa White,"
18195,Ltd Conrad
11376,Hampton-Thomas
31201,Thomas-Kelley
22164,Myers-Monroe
36198,"and Ford Lee, Rodriguez"
29550,Sons Garcia and
24548,"Perry Little, and Moore"
559,Anderson Group
26774,Rodriguez and Sons
31196,Thomas-Huber
26539,Robinson Inc
34565,Wood-Mathews
32358,"Walker and Gardner Fernandez,"
28969,"Smith and Johnston, Collins"
29642,Sons Miller and
6883,Donaldson-Frey
3207,Brown-Yoder
21589,"Morgan Rios and Keller,"
9772,Gonzalez-King
32285,Wagner Ltd
35504,"and Brown White, Jones"
14570,James-Smith
11455,Hanson Group
19836,Mcclain-Reed
34970,Young-Smith
11865,Hart-Brock
15343,"Jones and Jones, Turner"
30140,Spears-Shah
35162,"and Anderson Smith Sanchez,"
31616,"Tran, and Ferrell Garcia"
18643,Ltd Walton
10850,Group Rodriguez
4077,Carr LLC
26847,Rodriguez-Guerra
30686,"Sullivan Mullins, Macias and"
1301,Ballard PLC
17732,Liu-Wilson
16693,LLC Lewis
30544,"Stokes Chambers and Martin,"
12406,Hernandez-Green
13975,Inc Lee
33697,Wilkins Group
31892,Valentine Ltd
481,Alvarado-Deleon
264,"Alexander and Jensen Andrews,"
35370,"and Black, Henson Rhodes"
29924,Sons and Marshall
26839,Rodriguez-Franco
8646,"Fritz Henderson Stanton, and"
33344,West-Young
18592,Ltd Solis
20262,Mcneil-Blake
21421,Moore-Waters
10872,Group Scott
38710,and Simmons Sons
13507,"Humphrey and Browning Fitzgerald,"
153,Adams-Molina
11065,Guzman LLC
9789,Gonzalez-Pacheco
13536,"Hunt, Carlson and Cherry"
18113,Ltd Barnes
9883,"Gordon, Fox Lane and"
24647,Petersen Ltd
37563,and Mcdonald Sons
29026,"Smith, Elliott and Blackburn"
23535,PLC Oliver
10322,"Griffin and Lyons Rivers,"
5792,Craig-Garcia
1227,Baker-Jones
7037,Duffy-Kelly
26815,Rodriguez-Becker
10474,Group Brown
25186,Powers-Vincent
38255,"and Ramos Brown Edwards,"
14827,Johnson Group
934,Atkins Inc
19080,Marshall LLC
18205,Ltd Cruz
11836,Harrison-Parker
17372,Lee-Clayton
19935,Mcdaniel and Sons
13990,Inc Lynch
37623,"and Mendoza Rich Morales,"
25307,Proctor-Jones
38239,"and Ramirez Figueroa May,"
20588,Michael-Jenkins
11506,Hardy Inc
31766,"Turner, and Williams Mercado"
23715,PLC Williams
20511,Merritt-Gray
13311,"Huang Travis Thomas, and"
26915,Rodriguez-Zimmerman
20677,Miller PLC
19675,"May, Mullins and Martin"
21403,Moore-Robbins
18338,Ltd Howard
10527,Group Crosby
5470,Cook Ltd
26242,"Rivas, Mcconnell Hill and"
5394,Conner-Flores
30678,Suarez-Nelson
39473,"and Walker Glenn, Long"
23180,PLC Anderson
2264,Blackwell-Gamble
32287,Wagner PLC
9839,Goodman-Kelly
35411,"and Boyd Powell, Sims"
35785,"and Conrad Boyd, Burnett"
1046,Ayala-Armstrong
37202,"and Lambert White, Vargas"
10548,Group Doyle
