iter	MultiClass
0	1.098137736
1	1.097263254
2	1.096141885
3	1.095929541
4	1.095139309
5	1.094506743
6	1.093955927
7	1.092867244
8	1.092126565
9	1.091709992
10	1.091566721
11	1.090678529
12	1.090289665
13	1.089737511
14	1.089364411
15	1.087766662
16	1.08730167
17	1.086759464
18	1.086490636
19	1.086112841
20	1.085666803
21	1.0854732
22	1.085242987
23	1.084559592
24	1.084118559
25	1.083831865
26	1.083393204
27	1.082859491
28	1.082334991
29	1.082042305
30	1.081592197
31	1.080906427
32	1.080752461
33	1.080484347
34	1.08044479
35	1.079680108
36	1.079666816
37	1.079366804
38	1.079012577
39	1.078685725
40	1.078355253
41	1.078153639
42	1.077478939
43	1.077214978
44	1.076961219
45	1.076436281
46	1.075809715
47	1.075487933
48	1.07438664
49	1.074123179
50	1.073790262
51	1.073747001
52	1.073358879
53	1.072900965
54	1.072860459
55	1.072516515
56	1.07203748
57	1.071375696
58	1.070777504
59	1.070108624
60	1.069544852
61	1.068766895
62	1.068210904
63	1.067661162
64	1.066946213
65	1.066241363
66	1.066033822
67	1.065384258
68	1.065062676
69	1.064846947
70	1.064682555
71	1.064136744
72	1.064136461
73	1.063533016
74	1.063056451
75	1.062475542
76	1.06231376
77	1.061104587
78	1.060744428
79	1.060503415
80	1.060238651
81	1.059138677
82	1.058832089
83	1.058546381
84	1.05839625
85	1.058003959
86	1.057946197
87	1.057206114
88	1.056920729
89	1.056721645
90	1.056573103
91	1.055830976
92	1.054932406
93	1.054726587
94	1.054491357
95	1.054349643
96	1.053549262
97	1.052874652
98	1.051781345
99	1.051442751
100	1.051038288
101	1.050609326
102	1.049798597
103	1.049308842
104	1.049030188
105	1.04861715
106	1.047913278
107	1.047304814
108	1.046866936
109	1.046553724
110	1.045745511
111	1.045286038
112	1.04505635
113	1.044843749
114	1.04427903
115	1.043603297
116	1.042372857
117	1.042157885
118	1.041259403
119	1.041076745
120	1.040763655
121	1.04031411
122	1.040021198
123	1.039651919
124	1.039325179
125	1.039175947
126	1.038312014
127	1.037805559
128	1.036909698
129	1.036496684
130	1.036295393
131	1.035595011
132	1.035496808
133	1.035078556
134	1.034165118
135	1.033770471
136	1.033148941
137	1.032750522
138	1.032142303
139	1.031521669
140	1.031209734
141	1.030577357
142	1.029595907
143	1.028685947
144	1.028090977
145	1.027958229
146	1.027121967
147	1.026151382
148	1.025251201
149	1.024448877
150	1.023977631
151	1.023748389
152	1.023468755
153	1.02300192
154	1.0226441
155	1.022476238
156	1.022199784
157	1.021789309
158	1.021187881
159	1.020224647
160	1.019811654
161	1.019462292
162	1.019028629
163	1.01792126
164	1.017392933
165	1.016654561
166	1.016298643
167	1.015695272
168	1.014756145
169	1.014346427
170	1.014032273
171	1.013849215
172	1.01355297
173	1.013042126
174	1.012032662
175	1.011648443
176	1.011495025
177	1.010772645
178	1.009822114
179	1.009273957
180	1.008534199
181	1.00766495
182	1.006969872
183	1.006148505
184	1.004847591
