iter	Passed	Remaining
0	150	74953
1	169	42324
2	187	31025
3	202	25159
4	220	21808
5	236	19450
6	251	17744
7	268	16500
8	284	15504
9	299	14672
10	311	13848
11	328	13339
12	343	12882
13	359	12473
14	375	12127
15	390	11819
16	411	11693
17	430	11535
18	447	11323
19	464	11151
20	482	10995
21	499	10842
22	518	10748
23	538	10671
24	563	10713
25	595	10854
26	614	10758
27	637	10751
28	654	10629
29	673	10551
30	690	10443
31	709	10374
32	731	10352
33	751	10300
34	760	10098
35	777	10015
36	789	9873
37	804	9785
38	822	9717
39	838	9639
40	854	9562
41	873	9521
42	889	9457
43	904	9378
44	919	9298
45	934	9226
46	949	9156
47	965	9091
48	980	9026
49	995	8959
50	1014	8932
51	1022	8809
52	1037	8746
53	1053	8698
54	1061	8591
55	1074	8516
56	1091	8484
57	1109	8453
58	1127	8430
59	1153	8456
60	1173	8446
61	1191	8417
62	1208	8383
63	1225	8351
64	1244	8329
65	1261	8298
66	1278	8261
67	1300	8260
68	1316	8224
69	1332	8185
70	1349	8153
71	1366	8121
72	1373	8031
73	1388	7994
74	1404	7958
75	1448	8080
76	1465	8051
77	1482	8022
78	1499	7992
79	1517	7966
80	1535	7942
81	1551	7911
82	1566	7872
83	1586	7854
84	1603	7826
85	1619	7798
86	1637	7772
87	1655	7748
88	1673	7727
89	1693	7712
90	1706	7669
91	1730	7675
92	1747	7649
93	1764	7619
94	1779	7588
95	1797	7566
96	1813	7532
97	1828	7501
98	1844	7469
99	1865	7460
100	1881	7432
101	1896	7401
102	1913	7374
103	1929	7347
104	1945	7318
105	1960	7286
106	1975	7255
107	1993	7233
108	2011	7214
109	2025	7182
110	2041	7155
111	2057	7128
112	2073	7100
113	2089	7076
114	2107	7055
115	2127	7042
116	2151	7041
117	2164	7005
118	2181	6984
119	2199	6963
120	2216	6942
121	2232	6917
122	2248	6890
123	2264	6866
124	2284	6852
125	2299	6826
126	2315	6801
127	2331	6776
128	2347	6752
129	2364	6729
130	2381	6707
131	2396	6680
132	2414	6662
133	2434	6649
134	2449	6622
135	2468	6607
136	2488	6593
137	2506	6574
138	2522	6551
139	2537	6525
140	2558	6513
141	2573	6488
142	2588	6462
143	2604	6438
144	2618	6409
145	2633	6384
146	2647	6356
147	2661	6330
148	2676	6305
149	2696	6291
150	2712	6269
151	2728	6245
152	2743	6221
153	2758	6198
154	2773	6173
155	2789	6150
156	2803	6125
157	2819	6103
158	2840	6091
159	2855	6068
160	2871	6046
161	2887	6024
162	2903	6003
163	2920	5982
164	2935	5960
165	2951	5939
166	2972	5927
167	2990	5909
168	3005	5886
169	3020	5863
170	3036	5841
171	3051	5819
172	3067	5797
173	3083	5777
174	3100	5758
175	3121	5746
176	3137	5726
177	3153	5705
178	3169	5683
179	3185	5662
180	3200	5641
181	3216	5619
182	3232	5598
183	3250	5581
184	3267	5564
